emails,job_url,job_url_direct,is_remote,job_function,company_industry,company_url,company_url_direct,id
[],https://www.linkedin.com/jobs/view/4136209559,,,Other,IT Services and IT Consulting,https://www.linkedin.com/company/veracitysoftwareinc,,
"recruitment@pointclickcare.com, recruitment@pointclickcare.com",https://www.linkedin.com/jobs/view/4134429489,,,Engineering and Information Technology,Software Development,https://ca.linkedin.com/company/pointclickcare,,
[],https://www.linkedin.com/jobs/view/4126327069,,,Engineering,Software Development,https://www.linkedin.com/company/entrust,,
[],https://www.linkedin.com/jobs/view/4097015416,https://careers.homedepot.ca/job-view-id/1917285?utm_campaign=LinkedIn&codes=LinkedIn&CODES=LinkedIn&urlHash=Igj9,,Quality Assurance,Retail,https://ca.linkedin.com/company/the-home-depot-canada,,
candidateaccommodations@coalitioninc.com,https://www.linkedin.com/jobs/view/4121164719,,,Engineering and Information Technology,Insurance,https://www.linkedin.com/company/coalitioninc,,
[],https://www.linkedin.com/jobs/view/4097078353,https://careers.homedepot.ca/fr/vue-d-emploi-id/1917296?utm_campaign=LinkedIn&codes=LinkedIn&CODES=LinkedIn&urlHash=BlsK,,Quality Assurance,Retail,https://ca.linkedin.com/company/the-home-depot-canada,,
[],https://www.linkedin.com/jobs/view/4069394719,,,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education,https://www.linkedin.com/company/tecsys-inc,,
[],https://www.linkedin.com/jobs/view/4124638037,,,Other,IT Services and IT Consulting,https://www.linkedin.com/company/veracitysoftwareinc,,
[],https://www.linkedin.com/jobs/view/4097000719,,,Information Technology,Staffing and Recruiting,https://www.linkedin.com/company/indisquad,,
[],https://www.linkedin.com/jobs/view/4092121142,,,Information Technology,"Retail Office Equipment, Consumer Services, and Oil and Gas",https://ch.linkedin.com/company/sgs,,
