id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4144921576,linkedin,https://www.linkedin.com/jobs/view/4144921576,,Site Reliability Engineer-Application,PointClickCare,"Mississauga, Ontario, Canada",,,,,,,,,,,,,,,https://ca.linkedin.com/company/pointclickcare,,,,,,
li-4144485147,linkedin,https://www.linkedin.com/jobs/view/4144485147,,Staff Engineer,Alexi,"Toronto, Ontario, Canada",,,,,,,,,,,,,,,https://ca.linkedin.com/company/alexilawhq,,,,,,
li-4144741666,linkedin,https://www.linkedin.com/jobs/view/4144741666,,Site Reliability Engineer,Prodigy Education,"Greater Toronto Area, Canada",,,,,,,,,,,,,,,https://ca.linkedin.com/company/prodigyedu,,,,,,
li-4125799253,linkedin,https://www.linkedin.com/jobs/view/4125799253,,Site Reliability Engineer,Synopsys Inc,"Ottawa, Ontario, Canada",,,,,,,,,,,,,,,https://www.linkedin.com/company/synopsys,,,,,,
li-4144986953,linkedin,https://www.linkedin.com/jobs/view/4144986953,,"Director, Engineering Excellence",Arctic Wolf,,,,,,,,,,,,,,,,https://www.linkedin.com/company/arcticwolf,,,,,,
li-4142547016,linkedin,https://www.linkedin.com/jobs/view/4142547016,,Director of Engineering Excellence,Arctic Wolf,,,,,,,,,,,,,,,,https://www.linkedin.com/company/arcticwolf,,,,,,
li-4144440467,linkedin,https://www.linkedin.com/jobs/view/4144440467,,Lead Site Reliability Engineer,RBC,"Vancouver, British Columbia, Canada",,,,,,,,,,,,,,,https://ca.linkedin.com/company/rbc,,,,,,
li-4144726428,linkedin,https://www.linkedin.com/jobs/view/4144726428,,Technical Program Manager II,Warner Bros. Discovery,"Kanata, Ontario, Canada",,,,,,,,,,,,,,,https://www.linkedin.com/company/warner-bros-discovery,,,,,,
li-4144367205,linkedin,https://www.linkedin.com/jobs/view/4144367205,,"Senior Backend Engineer - Grafana Databases (Remote, Canada)",Grafana Labs,,,,,,,,,,,,,,,,https://www.linkedin.com/company/grafana-labs,,,,,,
li-4122404413,linkedin,https://www.linkedin.com/jobs/view/4122404413,,Senior Infrastructure Engineer (Database),CircleCI,"Toronto, Ontario, Canada",,,,,,,,,,,,,,,https://www.linkedin.com/company/circleci,,,,,,
