title,job_url,company,date_posted,job_level,job_type,emails,job_url_direct,is_remote,location,job_function,company_industry,company_url,company_url_direct
Lead Site Reliability Engineer,https://www.linkedin.com/jobs/view/4144440467,RBC,2025-02-05,,,,,,"Vancouver, British Columbia, Canada",,,https://ca.linkedin.com/company/rbc,
Site Reliability Engineer-Application,https://www.linkedin.com/jobs/view/4144921576,PointClickCare,,,,,,,"Mississauga, Ontario, Canada",,,https://ca.linkedin.com/company/pointclickcare,
Staff Engineer,https://www.linkedin.com/jobs/view/4144485147,Alexi,,,,,,,"Toronto, Ontario, Canada",,,https://ca.linkedin.com/company/alexilawhq,
Site Reliability Engineer,https://www.linkedin.com/jobs/view/4144741666,Prodigy Education,,,,,,,"Greater Toronto Area, Canada",,,https://ca.linkedin.com/company/prodigyedu,
Site Reliability Engineer,https://www.linkedin.com/jobs/view/4125799253,Synopsys Inc,,,,,,,"Ottawa, Ontario, Canada",,,https://www.linkedin.com/company/synopsys,
"Director, Engineering Excellence",https://www.linkedin.com/jobs/view/4144986953,Arctic Wolf,,,,,,,,,,https://www.linkedin.com/company/arcticwolf,
Director of Engineering Excellence,https://www.linkedin.com/jobs/view/4142547016,Arctic Wolf,,,,,,,,,,https://www.linkedin.com/company/arcticwolf,
Technical Program Manager II,https://www.linkedin.com/jobs/view/4144726428,Warner Bros. Discovery,,,,,,,"Kanata, Ontario, Canada",,,https://www.linkedin.com/company/warner-bros-discovery,
"Senior Backend Engineer - Grafana Databases (Remote, Canada)",https://www.linkedin.com/jobs/view/4144367205,Grafana Labs,,,,,,,,,,https://www.linkedin.com/company/grafana-labs,
Senior Infrastructure Engineer (Database),https://www.linkedin.com/jobs/view/4122404413,CircleCI,,,,,,,"Toronto, Ontario, Canada",,,https://www.linkedin.com/company/circleci,
